max_dropouts,min_thickness,max_ph_offset,drop_points,chip_run,dropout_run,dropout_run_relaxed,shiner_run,any_defect_run,any_defect_relaxed,SubID,label
0.0,2.48,3.0405,0,0,0,0,0,0,0,260717800356,1
0.0,2.32,6.2641,0,0,0,0,0,0,0,260717800713,1
0.0,2.38,3.1612,0,0,0,0,0,0,0,260717800838,1
0.0,2.28,4.595,0,0,0,0,0,0,0,260717800960,1
2.0,2.26,3.084,0,0,0,0,0,0,0,260717801081,1
0.0,2.2,2.4127,0,0,0,0,0,0,1,260717801236,1
0.0,2.38,4.0905,0,0,0,0,0,0,0,260717801247,1
7.0,2.28,4.8586,0,0,0,0,0,0,0,260717801605,1
0.0,2.32,3.7625,0,0,0,0,0,0,0,260717801686,1
2.0,2.34,4.553,0,0,0,0,0,0,0,260717801993,1
0.0,2.36,4.4595,0,0,0,0,0,0,0,260717802024,1
2.0,2.3,2.9019,0,0,0,0,0,0,0,260717802365,1
148.0,2.26,2.2015,1,0,0,0,0,0,0,260717802374,1
2.0,2.32,6.1754,0,0,0,0,0,0,0,260717802525,1
3.0,2.24,7.2137,0,0,0,0,0,0,1,260717802526,1
3.0,2.3,5.8109,0,0,0,0,0,0,0,260717802690,1
2.0,2.32,6.1073,0,0,0,0,0,0,0,260717802730,1
2.0,2.32,3.9722,0,0,0,0,0,0,0,260717802809,1
0.0,2.28,3.5822,0,0,0,0,0,0,0,260717802838,1
0.0,2.42,4.8232,0,0,0,0,0,0,0,260717810580,1
3.0,2.2,3.252,0,0,0,0,0,0,1,260717811222,1
3.0,2.36,6.2917,0,0,0,0,0,0,0,260717811239,1
0.0,2.48,2.6021,0,0,0,0,0,0,0,260717811454,1
3.0,2.28,6.1343,0,0,0,0,0,0,0,260717811642,1
0.0,2.4,3.1502,0,0,0,0,0,0,0,260717812023,1
0.0,2.36,4.465,0,0,0,0,0,0,0,260717812460,1
0.0,2.2,5.5695,0,0,0,0,0,0,1,260717812703,1
0.0,2.4,2.9367,0,0,0,0,0,0,0,260717813305,1
0.0,2.48,7.0455,0,0,0,0,0,0,0,260717813329,1
0.0,2.3,5.863,0,0,0,0,0,0,0,260716794780,0
0.0,2.34,3.2582,0,0,0,0,0,0,0,260716794827,0
0.0,2.3,2.7266,0,0,0,0,0,0,0,260716794846,0
2.0,2.3,3.9597,0,0,0,0,0,0,0,260716795695,0
2.0,2.26,3.6402,0,0,0,0,0,0,0,260716795795,0
2.0,2.28,5.0296,0,0,0,0,0,0,0,260716795796,0
0.0,2.34,4.5682,0,0,0,0,0,0,0,260716795798,0
0.0,2.26,5.25,0,0,0,0,0,0,0,260716795814,0
0.0,2.42,2.9111,0,0,0,0,0,0,0,260716795827,0
0.0,2.28,2.8509,0,0,0,0,0,0,0,260716795839,0
2.0,2.36,4.4669,0,0,0,0,0,0,0,260716795840,0
0.0,2.36,3.5106,0,0,0,0,0,0,0,260716795864,0
2.0,2.3,4.9339,0,0,0,0,0,0,0,260716795876,0
0.0,2.36,2.8165,0,0,0,0,0,0,0,260716795883,0
3.0,2.44,3.762,0,0,0,0,0,0,0,260716795885,0
8.0,2.4,3.8576,0,0,0,0,0,0,0,260716795909,0
2.0,2.36,4.5664,0,0,0,0,0,0,0,260716795980,0
2.0,2.3,3.7923,0,0,0,0,0,0,0,260716796061,0
0.0,2.32,2.595,0,0,0,0,0,0,0,260716796080,0
0.0,2.28,3.7127,0,0,0,0,0,0,0,260716796174,0
0.0,2.32,2.3241,0,0,0,0,0,0,0,260716802097,0
2.0,2.4,4.0858,0,0,0,0,0,0,0,260716806315,0
0.0,2.38,3.2425,0,0,0,0,0,0,0,260716806365,0
0.0,2.34,4.4479,0,0,0,0,0,0,0,260716806386,0
0.0,2.3,2.1482,0,0,0,0,0,0,0,260716806510,0
4.0,2.26,4.0058,0,0,0,0,0,0,0,260716806515,0
2.0,2.26,2.2283,0,0,0,0,0,0,0,260716806523,0
2.0,2.36,3.8413,0,0,0,0,0,0,0,260716806696,0
0.0,2.36,5.778,0,0,0,0,0,0,0,260716806731,0
0.0,2.32,7.7899,0,0,0,0,0,0,0,260716806735,0
0.0,2.34,7.1486,0,0,0,0,0,0,0,260716806736,0
2.0,2.42,3.5654,0,0,0,0,0,0,0,260716806755,0
0.0,2.42,7.3168,0,0,0,0,0,0,0,260716814458,0
0.0,2.4,6.0643,0,0,0,0,0,0,0,260716814811,0
0.0,2.44,3.8997,0,0,0,0,0,0,0,260716816109,0
0.0,2.4,6.612,0,0,0,0,0,0,0,260716816294,0
6.0,2.42,5.2554,0,0,0,0,0,0,0,260716816327,0
0.0,2.32,5.7288,0,0,0,0,0,0,0,260716816434,0
2.0,2.3,3.9643,0,0,0,0,0,0,0,260717790125,0
2.0,2.32,6.0981,0,0,0,0,0,0,0,260717790331,0
2.0,2.38,3.3343,0,0,0,0,0,0,0,260717790557,0
2.0,2.4,3.4221,0,0,0,0,0,0,0,260717790601,0
3.0,2.38,4.2162,0,0,0,0,0,0,0,260717790762,0
4.0,2.3,5.7116,0,0,0,0,0,0,0,260717790803,0
3.0,2.38,5.9118,0,0,0,0,0,0,0,260717790827,0
2.0,2.3,2.192,0,0,0,0,0,0,0,260717790843,0
2.0,2.46,3.6917,0,0,0,0,0,0,0,260717790971,0
0.0,2.28,4.7296,0,0,0,0,0,0,0,260717791006,0
2.0,2.22,4.8107,0,0,0,0,0,0,1,260717791084,0
5.0,2.36,3.6686,0,0,0,0,0,0,0,260717791129,0
7.0,2.26,6.0983,0,0,0,0,0,0,0,260717791131,0
2.0,2.34,3.5685,0,0,0,0,0,0,0,260717791173,0
5.0,2.34,4.001,0,0,0,0,0,0,0,260717791197,0
3.0,2.1,4.6898,0,0,0,0,0,0,1,260717791220,0
2.0,2.24,3.9064,0,0,0,0,0,0,1,260717791247,0
0.0,2.46,2.904,0,0,0,0,0,0,0,260717791283,0
0.0,2.28,4.3562,0,0,0,0,0,0,0,260717791288,0
2.0,2.4,2.8456,0,0,0,0,0,0,0,260717791342,0
8.0,2.28,3.9003,0,0,0,0,0,0,0,260717791348,0
2.0,2.36,3.7888,0,0,0,0,0,0,0,260717791366,0
2.0,2.42,2.2984,0,0,0,0,0,0,0,260717791369,0
2.0,2.46,2.2865,0,0,0,0,0,0,0,260717791383,0
6.0,2.28,2.0461,0,0,0,0,0,0,0,260717791389,0
0.0,2.3,4.3376,0,0,0,0,0,0,0,260717791398,0
11.0,2.28,4.8944,1,0,0,0,0,0,0,260717791406,0
2.0,2.42,5.6322,0,0,0,0,0,0,0,260717791423,0
2.0,2.44,6.1403,0,0,0,0,0,0,0,260717791429,0
0.0,2.36,3.9172,0,0,0,0,0,0,0,260717791440,0
0.0,2.32,4.0305,0,0,0,0,0,0,0,260717791442,0
2.0,2.3,4.8161,0,0,0,0,0,0,0,260717791445,0
19.0,2.36,4.6469,1,0,0,0,0,0,0,260717791455,0
2.0,2.3,3.6692,0,0,0,0,0,0,0,260717791457,0
0.0,2.36,5.5602,0,0,0,0,0,0,0,260717791459,0
24.0,2.22,3.4219,1,0,0,0,0,0,1,260717791463,0
2.0,2.3,5.9365,0,0,0,0,0,0,0,260717791468,0
0.0,2.34,2.5561,0,0,0,0,0,0,0,260717791469,0
2.0,2.32,4.7175,0,0,0,0,0,0,0,260717791470,0
2.0,2.46,4.2299,0,0,0,0,0,0,0,260717791472,0
2.0,2.36,3.3589,0,0,0,0,0,0,0,260717791473,0
0.0,2.46,5.0046,0,0,0,0,0,0,0,260717791475,0
2.0,2.28,4.8765,0,0,0,0,0,0,0,260717791478,0
0.0,2.44,3.054,0,0,0,0,0,0,0,260717791479,0
329.0,2.2,3.9473,1,0,0,0,0,0,1,260717791480,0
0.0,2.44,5.4703,0,0,0,0,0,0,0,260717791482,0
0.0,2.32,4.9713,0,0,0,0,0,0,0,260717791484,0
2.0,2.28,4.5766,0,0,0,0,0,0,0,260717791488,0
0.0,2.4,2.9406,0,0,0,0,0,0,0,260717791491,0
0.0,2.32,4.8281,0,0,0,0,0,0,0,260717791493,0
2.0,2.36,3.9559,0,0,0,0,0,0,0,260717791502,0
0.0,2.4,4.4222,0,0,0,0,0,0,0,260717791503,0
0.0,2.38,3.8206,0,0,0,0,0,0,0,260717791507,0
2.0,2.38,4.0677,0,0,0,0,0,0,0,260717791508,0
0.0,2.32,5.6328,0,0,0,0,0,0,0,260717791514,0
3.0,2.32,4.7415,0,0,0,0,0,0,0,260717791519,0
2.0,2.34,5.2698,0,0,0,0,0,0,0,260717791520,0
2.0,2.34,4.5868,0,0,0,0,0,0,0,260717791523,0
0.0,2.42,2.756,0,0,0,0,0,0,0,260717791527,0
0.0,2.26,5.3086,0,0,0,0,0,0,0,260717791530,0
3.0,2.26,4.9716,0,0,0,0,0,0,0,260717791532,0
0.0,2.36,2.7701,0,0,0,0,0,0,0,260717791533,0
2.0,2.26,6.0661,0,0,0,0,0,0,0,260717791540,0
0.0,2.2,4.082,0,0,0,0,0,0,1,260717791544,0
2.0,2.36,5.5969,0,0,0,0,0,0,0,260717791554,0
2.0,2.42,2.9917,0,0,0,0,0,0,0,260717791555,0
0.0,2.38,5.814,0,0,0,0,0,0,0,260717791558,0
2.0,2.3,2.6925,0,0,0,0,0,0,0,260717791559,0
2.0,2.36,4.5531,0,0,0,0,0,0,0,260717791560,0
0.0,2.4,2.6391,0,0,0,0,0,0,0,260717791571,0
0.0,2.34,2.8248,0,0,0,0,0,0,0,260717791574,0
2.0,2.32,3.3976,0,0,0,0,0,0,0,260717791575,0
2.0,2.36,5.1032,0,0,0,0,0,0,0,260717791577,0
3.0,2.02,1.8769,0,0,0,0,0,0,1,260717791585,0
4.0,2.26,3.6456,0,0,0,0,0,0,0,260717791588,0
2.0,2.34,4.1572,0,0,0,0,0,0,0,260717791589,0
3.0,2.3,4.2319,0,0,0,0,0,0,0,260717791592,0
7.0,2.34,4.3784,0,0,0,0,0,0,0,260717791593,0
2.0,2.32,3.2239,0,0,0,0,0,0,0,260717791597,0
3.0,2.3,3.5604,0,0,0,0,0,0,0,260717791600,0
0.0,2.36,3.0311,0,0,0,0,0,0,0,260717791602,0
0.0,2.34,3.5457,0,0,0,0,0,0,0,260717791607,0
0.0,2.48,2.9273,0,0,0,0,0,0,0,260717791614,0
2.0,2.3,3.694,0,0,0,0,0,0,0,260717791618,0
0.0,2.36,4.152,0,0,0,0,0,0,0,260717791632,0
3.0,2.32,4.0898,0,0,0,0,0,0,0,260717791633,0
3.0,2.28,4.5244,0,0,0,0,0,0,0,260717791634,0
2.0,2.34,7.2178,0,0,0,0,0,0,0,260717791637,0
2.0,2.3,4.0867,0,0,0,0,0,0,0,260717791648,0
0.0,2.32,4.3063,0,0,0,0,0,0,0,260717791654,0
2.0,2.3,4.1574,0,0,0,0,0,0,0,260717791661,0
2.0,2.3,3.9941,0,0,0,0,0,0,0,260717791667,0
2.0,2.36,6.2027,0,0,0,0,0,0,0,260717791671,0
2.0,2.3,4.1185,0,0,0,0,0,0,0,260717791695,0
2.0,2.2,5.0391,0,0,0,0,0,0,1,260717791696,0
2.0,2.26,2.8594,0,0,0,0,0,0,0,260717791742,0
0.0,2.36,3.8687,0,0,0,0,0,0,0,260717800197,0
0.0,2.3,1.9224,0,0,0,0,0,0,0,260717800310,0
0.0,2.38,3.1673,0,0,0,0,0,0,0,260717800580,0
0.0,2.46,3.6019,0,0,0,0,0,0,0,260717800782,0
2.0,2.46,3.6882,0,0,0,0,0,0,0,260717800909,0
0.0,2.28,4.1684,0,0,0,0,0,0,0,260717800966,0
0.0,2.28,4.1698,0,0,0,0,0,0,0,260717801091,0
